MessageID,TEC,Entrada SW Ida,Duracao SW Ida,Saida SW Ida,Entrada SA Ida,Duracao SA Ida,Saida SA Ida,Entrada DB,Duracao DB,Saida DB,Entrada SA Volta,Duracao SA Ida,Saida SA Volta,Entrada SW Volta,Duracao SW,Saida SW Volta,Recepcao da resposta,Interacao,
10,0.005500000000000001,0.10152479228553442,0.009,0.11052479228553441,0.5355623272245528,0.047,0.5825623272245528,2.3676060967284522,0.40900000000000003,2.776606096728452,2.776640869659637,0.108,2.884606096728452,2.776634817281066,0.01,2.786606096728452,2.79160868046274,3,
11,0.006000000000000002,0.1105271172227968,0.009,0.1195271172227968,0.5825679879461144,0.048,0.6305679879461145,2.7766156034670937,0.251,3.0276156034670936,3.0276503763982787,0.096,3.1236156034670937,3.0276438018278418,0.012,3.0396156034670936,3.044618211808375,3,
12,0.006500000000000002,0.11952925193791954,0.006,0.12552925193791953,0.6305733341831449,0.057,0.6875733341831449,,,,,,,0.6875999659682961,0.007,0.6945733341831449,0.6995759179174332,2,
13,0.007000000000000003,0.12553136551724897,0.009,0.13453136551724898,0.6875786804201753,0.045,0.7325786804201754,3.0276260608795997,0.139,3.1666260608796,3.1666639323888113,0.101,3.2676260608796,3.166654259240348,0.009,3.1756260608796,3.180628743041861,3,
14,0.007500000000000003,0.13453366931871807,0.005,0.13953366931871808,0.7325841838994714,0.047,0.7795841838994715,,,,,,,0.7796113378764884,0.008,0.7875841838994715,0.7925868414547395,2,
15,0.008000000000000004,0.13953578289804752,0.006,0.14553578289804753,0.7795898970351217,0.047,0.8265898970351218,,,,,,,0.8266160066284073,0.007,0.8335898970351218,0.8385925299833965,2,
16,0.008500000000000004,0.14553795988475687,0.01,0.15553795988475688,0.8265954529285063,0.053,0.8795954529285064,3.1666357577530144,0.11099999999999999,3.277635757753014,3.277672252116436,0.106,3.383635757753014,3.2776642172096953,0.011,3.2886357577530143,3.293638316880309,3,
17,0.009000000000000005,0.1555402002788461,0.011,0.1665402002788461,0.8796008515796253,0.05,0.9296008515796254,3.2776456447612015,0.30600000000000005,3.5836456447612015,3.583682827697518,0.102,3.6856456447612014,3.5836725376422858,0.011,3.5946456447612016,3.59964822849549,3,
18,0.009500000000000005,0.16654244067293533,0.01,0.17654244067293534,0.929606512301187,0.058,0.987606512301187,3.583655341634616,0.229,3.812655341634616,3.8126897702793534,0.111,3.9236553416346163,3.8126819734197674,0.009,3.821655341634616,3.8266578761549175,3,
19,0.010000000000000005,0.17654470220281784,0.005,0.18154470220281785,0.9876118061241289,0.051,1.038611806124129,,,,,,,1.038640526676743,0.01,1.048611806124129,1.0536144390724036,2,
20,0.010500000000000006,0.18154702714008025,0.012,0.19354702714008026,1.038617309603425,0.059,1.097617309603425,3.812665418777576,0.1,3.9126654187775762,3.9127001917087614,0.116,4.028665418777576,3.9126938782342573,0.011,3.9236654187775764,3.9286678794768983,3,
21,0.011000000000000006,0.19354935207734267,0.009,0.20254935207734268,1.097622813082721,0.06,1.157622813082721,3.9126755909879227,0.189,4.101675590987923,4.101712429637792,0.116,4.217675590987922,4.101703528252738,0.011,4.112675590987923,4.117678248543191,3,
22,0.011500000000000007,0.20255167701460508,0.007,0.2095516770146051,1.1576280544915745,0.055,1.2126280544915744,,,,,,,1.2126562528523228,0.01,1.2226280544915744,1.2276307120468422,2,
23,0.012000000000000007,0.20955379059393453,0.009,0.21855379059393454,1.2126338200413131,0.044,1.2566338200413132,4.101685287861337,0.19899999999999998,4.300685287861337,4.300719716506075,0.108,4.408685287861337,4.3007140084139515,0.01,4.310685287861337,4.315687871595625,3,
24,0.012500000000000008,0.21855605212381704,0.009,0.22755605212381705,1.2566395331769633,0.049,1.3056395331769632,4.300695650206457,0.305,4.6056956502064565,4.605731111710536,0.089,4.694695650206457,4.605723848567205,0.011,4.616695650206457,4.621698110905779,3,
25,0.013000000000000008,0.22755835592528614,0.011,0.23855835592528615,1.3056447745858166,0.049,1.3546447745858166,4.605705442147258,0.08,4.685705442147258,4.685741247937785,0.095,4.780705442147258,4.6857328572202075,0.011,4.696705442147258,4.7017079028465805,3,
26,0.013500000000000009,0.23856063859096197,0.01,0.24856063859096197,1.3546504877214667,0.058,1.4126504877214667,4.685715043953286,0.30000000000000004,4.985715043953286,4.985751194030261,0.092,5.077715043953286,4.985742459026236,0.01,4.995715043953286,5.000717726115547,3,
27,0.014000000000000009,0.2485628789850512,0.011,0.2595628789850512,1.4126562532712055,0.043,1.4556562532712054,4.985724645759315,0.41400000000000003,5.399724645759314,5.399760107263394,0.1,5.499724645759314,5.399751277544466,0.012,5.411724645759314,5.416727303314582,3,
28,0.01450000000000001,0.259565161650727,0.005,0.264565161650727,1.4556619139927671,0.045,1.500661913992767,,,,,,,1.5006901123535155,0.009,1.509661913992767,1.514664374692089,2,
29,0.01500000000000001,0.26456729636584975,0.011,0.27556729636584976,1.5006673650579745,0.041,1.5416673650579744,5.399734913037047,0.262,5.661734913037048,5.661772784546259,0.069,5.730734913037048,5.661761544822199,0.011,5.672734913037048,5.677737398343363,3,
30,0.01550000000000001,0.2755694733525591,0.012,0.2875694733525591,1.5416726588809164,0.057,1.5986726588809164,5.661744895112622,0.41800000000000004,6.079744895112622,6.079782078048939,0.115,6.194744895112622,6.079772049089639,0.012,6.091744895112622,6.09674740502593,3,
